loss,batch_in_data,epoc,batch_in_test
0.010017443,0,0,0
0.078568146,2048,0,1
0.084942847,4096,0,2
0.053253278,6144,0,3
0.082498528,8192,0,4
0.021091683,10240,0,5
0.006067362,12288,0,6
0.142906353,14336,0,7
0.1183061,16384,0,8
0.022551486,18432,0,9
0.045832507,20480,0,10
0.08573132,22528,0,11
0.068303645,24576,0,12
0.062007714,26624,0,13
0.075988933,28672,0,14
0.089527667,30720,0,15
0.109583005,32768,0,16
0.041737676,34816,0,17
0.158176675,36864,0,18
0.112698182,38912,0,19
0.080688626,40960,0,20
0.035471044,43008,0,21
0.093085021,45056,0,22
0.092066258,47104,0,23
0.044353142,49152,0,24
0.093869321,51200,0,25
0.066663288,53248,0,26
0.080748491,55296,0,27
0.092541948,57344,0,28
0.046768736,59392,0,29
0.109950617,61440,0,30
0.067047849,63488,0,31
0.102728441,65536,0,32
0.108738415,67584,0,33
0.069794223,69632,0,34
0.173231363,71680,0,35
0.080673084,73728,0,36
0.081599936,75776,0,37
0.097141445,77824,0,38
0.06115111,79872,0,39
0.156921938,81920,0,40
0.08028698,83968,0,41
0.119623646,86016,0,42
0.170180738,88064,0,43
0.090666987,90112,0,44
0.32403791,92160,0,45
0.243335858,94208,0,46
0.26509729,96256,0,47
0.329100013,98304,0,48
0.147628754,100352,0,49
0.100062095,102400,0,50
0.077042848,104448,0,51
0.196974561,106496,0,52
0.148434445,108544,0,53
0.106250413,110592,0,54
0.144069254,112640,0,55
0.065372348,114688,0,56
0.075541481,116736,0,57
0.112571225,118784,0,58
0.067964666,120832,0,59
0.241363451,122880,0,60
0.206080779,124928,0,61
0.153827623,126976,0,62
0.307875395,129024,0,63
0.238930285,131072,0,64
0.157002985,133120,0,65
0.231124178,135168,0,66
0.158613563,137216,0,67
0.01200974,0,1,0
0.235005677,2048,1,1
0.181033656,4096,1,2
0.068305433,6144,1,3
0.100673079,8192,1,4
0.271442056,10240,1,5
0.139917329,12288,1,6
0.247519195,14336,1,7
0.240082502,16384,1,8
0.088379696,18432,1,9
0.090926111,20480,1,10
0.09602648,22528,1,11
1.557730198,24576,1,12
4.494823933,26624,1,13
2.911530018,28672,1,14
0.179385468,30720,1,15
0.102184504,32768,1,16
0.028638594,34816,1,17
0.088976875,36864,1,18
0.061725304,38912,1,19
0.07373824,40960,1,20
0.042806726,43008,1,21
0.082681492,45056,1,22
0.081615351,47104,1,23
0.049007282,49152,1,24
0.094091937,51200,1,25
0.207478732,53248,1,26
0.419505,55296,1,27
0.454800189,57344,1,28
0.267479002,59392,1,29
0.382439405,61440,1,30
0.315978765,63488,1,31
0.799939871,65536,1,32
0.808059335,67584,1,33
0.305791199,69632,1,34
0.422825992,71680,1,35
0.144625291,73728,1,36
0.081828237,75776,1,37
0.100502729,77824,1,38
0.118345127,79872,1,39
0.262667835,81920,1,40
0.114937328,83968,1,41
0.163268492,86016,1,42
0.203897983,88064,1,43
0.153173625,90112,1,44
0.633755922,92160,1,45
1.575159431,94208,1,46
0.574302673,96256,1,47
0.676355302,98304,1,48
0.390302807,100352,1,49
0.302125216,102400,1,50
0.05850983,104448,1,51
0.142628208,106496,1,52
0.116168775,108544,1,53
0.100553684,110592,1,54
0.224476472,112640,1,55
0.135252178,114688,1,56
0.193684712,116736,1,57
0.234181136,118784,1,58
0.111367084,120832,1,59
0.460476309,122880,1,60
0.466708601,124928,1,61
1.430421472,126976,1,62
2.006768703,129024,1,63
0.976825178,131072,1,64
0.239832953,133120,1,65
0.243632942,135168,1,66
0.13340047,137216,1,67
0.015286069,0,2,0
0.177754074,2048,2,1
0.120225236,4096,2,2
0.144517317,6144,2,3
0.363556117,8192,2,4
0.060533315,10240,2,5
0.016548894,12288,2,6
0.043915901,14336,2,7
0.069865309,16384,2,8
0.024840074,18432,2,9
0.05879746,20480,2,10
0.143683851,22528,2,11
0.068332769,24576,2,12
0.073474705,26624,2,13
0.088317238,28672,2,14
0.141819775,30720,2,15
0.136550829,32768,2,16
0.024639877,34816,2,17
0.062519267,36864,2,18
0.038870279,38912,2,19
0.101016864,40960,2,20
0.03932602,43008,2,21
0.105223194,45056,2,22
0.112243593,47104,2,23
0.045095067,49152,2,24
0.10770908,51200,2,25
0.076663636,53248,2,26
0.112301782,55296,2,27
0.12895447,57344,2,28
0.072326124,59392,2,29
0.120356977,61440,2,30
0.133331507,63488,2,31
0.364408016,65536,2,32
0.446976483,67584,2,33
0.195668027,69632,2,34
0.429030776,71680,2,35
0.13513428,73728,2,36
0.149340898,75776,2,37
0.19966349,77824,2,38
0.104274169,79872,2,39
0.255125254,81920,2,40
0.141343623,83968,2,41
0.2331682,86016,2,42
0.225502402,88064,2,43
0.158720896,90112,2,44
0.390753895,92160,2,45
0.222973093,94208,2,46
0.318237305,96256,2,47
0.45028922,98304,2,48
0.189271033,100352,2,49
0.10850659,102400,2,50
0.056498148,104448,2,51
0.133105814,106496,2,52
0.109054945,108544,2,53
0.070917636,110592,2,54
0.160091385,112640,2,55
0.085462317,114688,2,56
0.096912496,116736,2,57
0.128137991,118784,2,58
0.076984324,120832,2,59
0.247882336,122880,2,60
0.203873634,124928,2,61
0.106938116,126976,2,62
0.150823087,129024,2,63
0.089826465,131072,2,64
0.18481198,133120,2,65
0.463049948,135168,2,66
0.1055253,137216,2,67
0.020136451,0,3,0
0.081339084,2048,3,1
0.092554159,4096,3,2
0.082653798,6144,3,3
0.076447651,8192,3,4
0.105365381,10240,3,5
0.036338378,12288,3,6
0.082045816,14336,3,7
0.08122877,16384,3,8
0.049058061,18432,3,9
0.078190193,20480,3,10
0.101403609,22528,3,11
0.073915526,24576,3,12
0.066264614,26624,3,13
0.080640063,28672,3,14
0.156242102,30720,3,15
0.130928412,32768,3,16
0.032878041,34816,3,17
0.076182477,36864,3,18
0.044470146,38912,3,19
0.086895019,40960,3,20
0.114147596,43008,3,21
0.162103027,45056,3,22
0.087666914,47104,3,23
0.05352512,49152,3,24
0.145948276,51200,3,25
0.334881097,53248,3,26
0.752661765,55296,3,27
0.583549917,57344,3,28
0.414298862,59392,3,29
0.614482105,61440,3,30
0.402275205,63488,3,31
0.837419391,65536,3,32
0.864762127,67584,3,33
0.493037581,69632,3,34
0.919448674,71680,3,35
0.256157666,73728,3,36
0.149355382,75776,3,37
0.206969008,77824,3,38
0.169794649,79872,3,39
0.337974072,81920,3,40
0.130504623,83968,3,41
0.24443689,86016,3,42
0.233990967,88064,3,43
0.179521695,90112,3,44
0.51043576,92160,3,45
0.275461942,94208,3,46
0.458212912,96256,3,47
0.531638801,98304,3,48
0.323074013,100352,3,49
0.308332473,102400,3,50
0.079103269,104448,3,51
0.177424893,106496,3,52
0.147076771,108544,3,53
0.096569464,110592,3,54
0.165179655,112640,3,55
0.073302522,114688,3,56
0.119187832,116736,3,57
0.142862499,118784,3,58
0.092034534,120832,3,59
0.33482796,122880,3,60
0.236691624,124928,3,61
0.11685326,126976,3,62
0.166568592,129024,3,63
0.100121588,131072,3,64
0.727235436,133120,3,65
0.612186551,135168,3,66
0.257662475,137216,3,67
0.031688061,0,4,0
0.106896326,2048,4,1
0.131980926,4096,4,2
0.101972796,6144,4,3
0.398131102,8192,4,4
0.108391896,10240,4,5
0.04153686,12288,4,6
0.085960761,14336,4,7
0.126466811,16384,4,8
0.108088285,18432,4,9
0.235998303,20480,4,10
0.296990782,22528,4,11
0.460353911,24576,4,12
1.080775261,26624,4,13
1.055835247,28672,4,14
0.706183374,30720,4,15
0.747211397,32768,4,16
0.288953662,34816,4,17
0.539579868,36864,4,18
0.308818012,38912,4,19
0.678564429,40960,4,20
0.834949434,43008,4,21
1.197108388,45056,4,22
0.61502552,47104,4,23
0.918195486,49152,4,24
1.52941215,51200,4,25
0.598369598,53248,4,26
0.47771284,55296,4,27
0.458641469,57344,4,28
0.627493382,59392,4,29
1.112912893,61440,4,30
0.719636202,63488,4,31
1.42983222,65536,4,32
1.189638615,67584,4,33
0.698348522,69632,4,34
1.228950143,71680,4,35
0.378248513,73728,4,36
0.226500034,75776,4,37
0.274388254,77824,4,38
0.194994614,79872,4,39
0.570527732,81920,4,40
0.412554383,83968,4,41
0.959899068,86016,4,42
0.63384366,88064,4,43
0.290860087,90112,4,44
0.589984715,92160,4,45
0.295654982,94208,4,46
0.724434137,96256,4,47
0.815248787,98304,4,48
0.312924057,100352,4,49
0.209702715,102400,4,50
0.071908474,104448,4,51
0.120900251,106496,4,52
0.105677567,108544,4,53
0.095316127,110592,4,54
0.216154456,112640,4,55
0.105894856,114688,4,56
0.585172296,116736,4,57
0.471012473,118784,4,58
0.200279802,120832,4,59
0.380801737,122880,4,60
0.282221735,124928,4,61
0.183627173,126976,4,62
0.253724366,129024,4,63
0.162376031,131072,4,64
0.280797184,133120,4,65
0.183464438,135168,4,66
0.108860448,137216,4,67
0.050810423,0,5,0
0.384347022,2048,5,1
0.394853592,4096,5,2
0.110947892,6144,5,3
0.153136149,8192,5,4
0.047189653,10240,5,5
0.024971267,12288,5,6
0.059230477,14336,5,7
0.075710721,16384,5,8
0.035045519,18432,5,9
0.077135235,20480,5,10
0.112873361,22528,5,11
1.621486902,24576,5,12
2.092699766,26624,5,13
0.42136693,28672,5,14
0.117661402,30720,5,15
0.205331668,32768,5,16
0.028288733,34816,5,17
0.08594618,36864,5,18
0.058920991,38912,5,19
0.215805009,40960,5,20
0.137825295,43008,5,21
0.309896678,45056,5,22
0.259922832,47104,5,23
0.382944226,49152,5,24
0.670226753,51200,5,25
0.326784343,53248,5,26
0.293200493,55296,5,27
0.246846765,57344,5,28
0.297476083,59392,5,29
0.715130568,61440,5,30
0.532156229,63488,5,31
0.934833348,65536,5,32
0.885459304,67584,5,33
0.562792778,69632,5,34
1.043748975,71680,5,35
0.333049774,73728,5,36
0.1981612,75776,5,37
0.228902698,77824,5,38
0.198959529,79872,5,39
0.587498069,81920,5,40
0.220789149,83968,5,41
0.554770648,86016,5,42
0.394652367,88064,5,43
0.220033765,90112,5,44
0.684111059,92160,5,45
0.41741398,94208,5,46
0.863812804,96256,5,47
0.935164988,98304,5,48
0.428535342,100352,5,49
0.392386883,102400,5,50
0.09033756,104448,5,51
0.14186272,106496,5,52
0.094363198,108544,5,53
0.080683485,110592,5,54
0.261528373,112640,5,55
0.148618996,114688,5,56
0.325983435,116736,5,57
0.272993147,118784,5,58
0.130536497,120832,5,59
0.460995853,122880,5,60
0.332979262,124928,5,61
0.14576143,126976,5,62
0.189336389,129024,5,63
0.131837621,131072,5,64
0.688013494,133120,5,65
0.345006496,135168,5,66
0.152971193,137216,5,67
0.029921744,0,6,0
0.13151446,2048,6,1
0.107941419,4096,6,2
0.205757216,6144,6,3
0.539604664,8192,6,4
0.077605471,10240,6,5
0.006910132,12288,6,6
0.040466979,14336,6,7
0.069225341,16384,6,8
0.026154175,18432,6,9
0.061554506,20480,6,10
0.102687463,22528,6,11
0.104134314,24576,6,12
0.089591041,26624,6,13
0.082427368,28672,6,14
0.088267766,30720,6,15
0.100338839,32768,6,16
0.066163339,34816,6,17
0.141112849,36864,6,18
0.135975689,38912,6,19
0.67270726,40960,6,20
0.04932829,43008,6,21
0.158288896,45056,6,22
0.157124907,47104,6,23
0.211967736,49152,6,24
0.432208627,51200,6,25
0.227304697,53248,6,26
0.114772446,55296,6,27
0.129252046,57344,6,28
0.071757779,59392,6,29
0.254452646,61440,6,30
0.358953267,63488,6,31
0.865676582,65536,6,32
0.805997729,67584,6,33
0.370702147,69632,6,34
0.923618674,71680,6,35
